league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
BEL-Belgian Pro League,2023-24,Eupen,Gaga Slonina,USA,GK,19,2004,28,28,2520,28.0,56,2.0,159,106,66.7,6,2,20,4,14.3,5,3,1,1,25.0
BEL-Belgian Pro League,2023-24,Eupen,Manaf Nurudeen,GHA,GK,24,1999,2,2,180,2.0,2,1.0,8,6,87.5,1,1,0,1,50.0,1,1,0,0,0.0
BEL-Belgian Pro League,2023-24,Genk,Maarten Vandevoordt,BEL,GK,21,2002,30,30,2700,30.0,31,1.03,116,84,75.0,12,11,7,10,33.3,3,2,1,0,33.3
BEL-Belgian Pro League,2023-24,Gent,Daniel Schmidt,JPN,GK,31,1992,8,8,720,8.0,17,2.12,38,21,65.8,1,2,5,1,12.5,4,4,0,0,0.0
BEL-Belgian Pro League,2023-24,Gent,Davy Roef,BEL,GK,29,1994,12,12,1080,12.0,9,0.75,42,30,85.7,7,4,1,5,41.7,6,3,3,0,50.0
BEL-Belgian Pro League,2023-24,Gent,Paul Nardi,FRA,GK,29,1994,10,10,900,10.0,12,1.2,42,30,73.8,4,5,1,1,10.0,1,1,0,0,0.0
BEL-Belgian Pro League,2023-24,Kortrijk,Lucas Pirard,BEL,GK,28,1995,9,9,810,9.0,10,1.11,42,33,76.2,4,2,3,4,44.4,0,0,0,0,
BEL-Belgian Pro League,2023-24,Kortrijk,Tom Vandenberghe,BEL,GK,30,1992,21,21,1890,21.0,47,2.24,126,82,63.5,2,4,15,1,4.8,2,1,0,1,0.0
BEL-Belgian Pro League,2023-24,Mechelen,Gaëtan Coucke,BEL,GK,24,1998,30,30,2700,30.0,34,1.13,124,90,73.4,13,6,11,10,33.3,4,1,1,2,50.0
BEL-Belgian Pro League,2023-24,OH Leuven,Maxence Prevot,FRA,GK,26,1997,11,11,990,11.0,21,1.91,56,34,66.1,3,2,6,2,18.2,3,2,1,0,33.3
BEL-Belgian Pro League,2023-24,OH Leuven,Tobe Leysen,BEL,GK,21,2002,16,16,1440,16.0,18,1.13,78,62,78.2,4,5,7,5,31.3,1,1,0,0,0.0
BEL-Belgian Pro League,2023-24,OH Leuven,Valentin Cojocaru,ROU,GK,27,1995,3,3,270,3.0,8,2.67,15,7,73.3,0,1,2,0,0.0,4,4,0,0,0.0
BEL-Belgian Pro League,2023-24,RWDM,Guillaume Hubert,BEL,GK,29,1994,1,0,17,0.2,1,5.29,0,0,,0,0,0,0,,0,0,0,0,
BEL-Belgian Pro League,2023-24,RWDM,Théo Defourny,BEL,GK,31,1992,30,30,2679,29.8,66,2.22,178,110,69.7,5,8,17,4,13.3,15,12,3,0,20.0
BEL-Belgian Pro League,2023-24,Sint-Truiden,Daniel Schmidt,JPN,GK,31,1992,4,4,360,4.0,3,0.75,12,9,75.0,2,1,1,2,50.0,0,0,0,0,
BEL-Belgian Pro League,2023-24,Sint-Truiden,Jo Coppens,BEL,GK,32,1990,4,4,360,4.0,8,2.0,14,6,42.9,1,1,2,0,0.0,0,0,0,0,
BEL-Belgian Pro League,2023-24,Sint-Truiden,Zion Suzuki,JPN,GK,20,2002,22,22,1980,22.0,35,1.59,100,65,70.0,7,8,7,5,22.7,5,5,0,0,0.0
BEL-Belgian Pro League,2023-24,Standard Liège,Arnaud Bodart,BEL,GK,25,1998,29,29,2610,29.0,35,1.21,134,98,77.6,8,10,11,5,17.2,6,5,1,0,16.7
