league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
FRA-Ligue 1,2024-25,Strasbourg,Thomas Delaine,FRA,DF,32,1992,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0
FRA-Ligue 1,2024-25,Strasbourg,Valentín Barco,ARG,"MF,DF",20,2004,12.9,36,22,24,10,2,22,30,73.3,8,8,3,5,13,49,28,1
FRA-Ligue 1,2024-25,Strasbourg,Óscar Perea,COL,"MF,DF",18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2024-25,Strasbourg,Đorđe Petrović,SRB,GK,24,1999,31.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,24,1
FRA-Ligue 1,2024-25,Toulouse,Aron Dønnum,NOR,"DF,MF",26,1998,29.9,56,35,25,24,7,31,55,56.4,24,29,4,25,28,84,37,1
FRA-Ligue 1,2024-25,Toulouse,Charlie Cresswell,ENG,DF,21,2002,28.8,35,23,19,15,1,28,46,60.9,18,44,28,16,28,63,191,3
FRA-Ligue 1,2024-25,Toulouse,Cristian Cásseres Jr.,VEN,MF,24,2000,30.0,96,61,41,43,12,46,88,52.3,42,35,9,26,42,138,36,1
FRA-Ligue 1,2024-25,Toulouse,Denis Genreau,AUS,MF,25,1999,2.5,7,5,4,1,2,4,8,50.0,4,3,0,3,3,10,4,0
FRA-Ligue 1,2024-25,Toulouse,Djibril Sidibé,FRA,DF,32,1992,23.3,65,36,34,22,9,31,50,62.0,19,11,3,8,20,85,64,1
FRA-Ligue 1,2024-25,Toulouse,Edhy Zuliani,FRA,DF,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
FRA-Ligue 1,2024-25,Toulouse,Frank Magri,CMR,"FW,MF",24,1999,16.8,8,2,1,6,1,3,8,37.5,5,16,2,14,4,12,11,0
FRA-Ligue 1,2024-25,Toulouse,Gabriel Suazo,CHI,DF,26,1997,24.0,59,39,25,22,12,30,72,41.7,42,27,3,24,36,95,40,1
FRA-Ligue 1,2024-25,Toulouse,Guillaume Restes,FRA,GK,19,2005,28.3,2,1,2,0,0,2,3,66.7,1,0,0,0,1,3,16,1
FRA-Ligue 1,2024-25,Toulouse,Jaydee Canvot,FRA,"DF,MF",18,2006,12.3,23,11,16,5,2,12,18,66.7,6,10,2,8,11,34,54,1
FRA-Ligue 1,2024-25,Toulouse,Joshua King,NOR,"FW,MF",32,1992,18.6,11,11,4,4,3,5,12,41.7,7,10,3,7,6,17,19,0
FRA-Ligue 1,2024-25,Toulouse,Kjetil Haug,NOR,GK,26,1998,5.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
FRA-Ligue 1,2024-25,Toulouse,Logan Costa,CPV,DF,23,2001,1.0,2,1,0,2,0,1,1,100.0,0,2,2,0,2,4,4,0
FRA-Ligue 1,2024-25,Toulouse,Mark McKenzie,USA,DF,25,1999,27.7,52,31,31,20,1,33,45,73.3,12,31,18,13,22,74,141,1
FRA-Ligue 1,2024-25,Toulouse,Miha Zajc,SVN,MF,30,1994,2.9,4,4,1,2,1,3,5,60.0,2,2,1,1,3,7,7,0
FRA-Ligue 1,2024-25,Toulouse,Naatan Skyttä,FIN,FW,22,2002,0.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
FRA-Ligue 1,2024-25,Toulouse,Niklas Schmidt,GER,MF,26,1998,2.3,6,4,1,5,0,4,7,57.1,3,0,0,0,1,7,4,0
FRA-Ligue 1,2024-25,Toulouse,Noah Edjouma,FRA,"MF,FW",18,2005,1.9,2,2,0,1,1,1,2,50.0,1,1,1,0,2,4,2,0
FRA-Ligue 1,2024-25,Toulouse,Rafik Messali,FRA,DF,21,2003,5.1,15,8,6,6,3,7,8,87.5,1,9,1,8,10,25,12,0
FRA-Ligue 1,2024-25,Toulouse,Rasmus Nicolaisen,DEN,DF,27,1997,6.9,6,3,4,2,0,3,5,60.0,2,10,5,5,10,16,25,0
FRA-Ligue 1,2024-25,Toulouse,Shavy Babicka,GAB,"MF,FW",24,2000,13.2,21,12,6,11,4,10,21,47.6,11,14,0,14,3,24,4,3
FRA-Ligue 1,2024-25,Toulouse,Vincent Sierro,SUI,MF,28,1995,26.7,44,27,15,23,6,27,56,48.2,29,34,9,25,16,60,44,1
FRA-Ligue 1,2024-25,Toulouse,Warren Kamanzi,NOR,"DF,MF",23,2000,11.4,29,13,12,12,5,14,28,50.0,14,7,3,4,9,38,25,0
FRA-Ligue 1,2024-25,Toulouse,Yann Gboho,FRA,"MF,FW",23,2001,25.9,31,18,7,15,9,14,35,40.0,21,20,0,20,6,37,4,1
FRA-Ligue 1,2024-25,Toulouse,Zakaria Aboukhlal,MAR,"MF,FW",24,2000,21.1,22,13,7,8,7,4,23,17.4,19,16,1,15,6,28,9,0
FRA-Ligue 1,2024-25,Toulouse,Álex Domínguez,ESP,GK,26,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2024-25,Toulouse,Ümit Akdag,ROU,DF,20,2003,5.6,8,4,3,4,1,5,12,41.7,7,10,8,2,11,19,19,0
GER-Bundesliga,2024-25,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26,1998,23.4,41,26,12,15,14,17,34,50.0,17,16,0,16,15,56,8,1
GER-Bundesliga,2024-25,Augsburg,Arne Engels,BEL,"MF,FW",20,2003,0.9,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
GER-Bundesliga,2024-25,Augsburg,Arne Maier,GER,MF,25,1999,10.4,13,7,4,8,1,7,13,53.8,6,15,1,14,6,19,14,1
GER-Bundesliga,2024-25,Augsburg,Cedric Zesiger,SUI,DF,26,1998,13.6,13,7,7,6,0,8,13,61.5,5,17,10,7,21,34,96,1
GER-Bundesliga,2024-25,Augsburg,Chrislain Matsima,FRA,DF,22,2002,28.3,31,20,19,11,1,17,26,65.4,9,48,29,19,52,83,163,0
GER-Bundesliga,2024-25,Augsburg,Dimitris Giannoulis,GRE,DF,28,1995,29.4,47,32,27,16,4,26,44,59.1,18,49,11,38,47,94,75,0
GER-Bundesliga,2024-25,Augsburg,Elvis Rexhbeçaj,KVX,MF,26,1997,19.8,27,19,9,14,4,15,35,42.9,20,40,9,31,16,43,22,1
GER-Bundesliga,2024-25,Augsburg,Finn Dahmen,GER,GK,26,1998,19.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,9,0
GER-Bundesliga,2024-25,Augsburg,Frank Onyeka,NGA,MF,26,1998,28.7,58,45,22,28,8,22,40,55.0,18,36,9,27,36,94,36,2
GER-Bundesliga,2024-25,Augsburg,Fredrik Jensen,FIN,MF,26,1997,8.5,7,7,1,3,3,4,5,80.0,1,10,1,9,4,11,17,0
GER-Bundesliga,2024-25,Augsburg,Henri Koudossou,GER,DF,24,1999,8.3,18,10,6,11,1,11,19,57.9,8,8,2,6,15,33,37,0
GER-Bundesliga,2024-25,Augsburg,Jeffrey Gouweleeuw,NED,DF,33,1991,32.7,50,28,25,21,4,27,40,67.5,13,34,15,19,35,85,183,0
GER-Bundesliga,2024-25,Augsburg,Keven Schlotterbeck,GER,DF,27,1997,14.4,19,17,9,9,1,12,16,75.0,4,13,6,7,15,34,73,1
GER-Bundesliga,2024-25,Augsburg,Kristijan Jakić,CRO,MF,27,1997,25.6,46,23,20,19,7,22,43,51.2,21,42,9,33,28,74,50,1
GER-Bundesliga,2024-25,Augsburg,Mads Pedersen,DEN,DF,27,1996,2.6,8,7,5,2,1,4,5,80.0,1,4,0,4,2,10,6,0
GER-Bundesliga,2024-25,Augsburg,Marius Wolf,GER,DF,29,1995,23.8,27,16,13,11,3,16,43,37.2,27,29,5,24,24,51,51,1
GER-Bundesliga,2024-25,Augsburg,Maximilian Bauer,GER,DF,24,2000,7.3,14,8,5,7,2,9,14,64.3,5,10,4,6,6,20,35,1
GER-Bundesliga,2024-25,Augsburg,Mergim Berisha,GER,FW,26,1998,0.4,1,0,0,1,0,1,1,100.0,0,2,1,1,0,1,0,0
GER-Bundesliga,2024-25,Augsburg,Mert Kömür,GER,MF,19,2005,7.3,3,2,2,0,1,0,3,0.0,3,9,3,6,3,6,7,1
GER-Bundesliga,2024-25,Augsburg,Nediljko Labrović,CRO,GK,24,1999,15.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,1
GER-Bundesliga,2024-25,Augsburg,Niklas Dorsch,GER,MF,26,1998,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
GER-Bundesliga,2024-25,Augsburg,Noahkai Banks,USA,DF,17,2006,3.1,11,5,6,4,1,3,7,42.9,4,4,1,3,5,16,28,0
GER-Bundesliga,2024-25,Augsburg,Phillip Tietz,GER,FW,27,1997,18.7,11,6,2,7,2,5,8,62.5,3,10,1,9,5,16,26,1
GER-Bundesliga,2024-25,Augsburg,Robert Gumny,POL,DF,26,1998,3.0,3,3,1,2,0,2,6,33.3,4,2,0,2,1,4,6,0
GER-Bundesliga,2024-25,Augsburg,Ruben Vargas,SUI,"MF,FW",25,1998,3.4,2,1,1,1,0,1,4,25.0,3,1,0,1,2,4,1,1
GER-Bundesliga,2024-25,Augsburg,Samuel Essende,COD,FW,26,1998,18.2,7,6,1,3,3,3,4,75.0,1,13,2,11,0,7,11,1
GER-Bundesliga,2024-25,Augsburg,Steve Mounié,BEN,"FW,MF",29,1994,3.9,4,4,0,1,3,0,1,0.0,1,1,1,0,1,5,5,1
GER-Bundesliga,2024-25,Augsburg,Tim Breithaupt,GER,MF,22,2002,1.3,1,1,0,1,0,0,4,0.0,4,1,0,1,2,3,0,0
GER-Bundesliga,2024-25,Augsburg,Yusuf Kabadayı,GER,"FW,MF",20,2004,0.8,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
GER-Bundesliga,2024-25,Bayern Munich,Adam Aznou,MAR,DF,18,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
GER-Bundesliga,2024-25,Bayern Munich,Aleksandar Pavlovic,GER,MF,20,2004,16.1,38,21,13,15,10,22,32,68.8,10,18,3,15,5,43,14,0
GER-Bundesliga,2024-25,Bayern Munich,Alphonso Davies,CAN,DF,23,2000,17.3,30,17,7,17,6,17,26,65.4,9,14,1,13,13,43,22,2
GER-Bundesliga,2024-25,Bayern Munich,Arijon Ibrahimović,GER,FW,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER-Bundesliga,2024-25,Bayern Munich,Daniel Peretz,ISR,GK,24,2000,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
GER-Bundesliga,2024-25,Bayern Munich,Dayot Upamecano,FRA,DF,25,1998,19.5,36,22,18,16,2,16,29,55.2,13,17,7,10,34,70,45,1
GER-Bundesliga,2024-25,Bayern Munich,Eric Dier,ENG,DF,30,1994,16.3,19,11,8,9,2,13,20,65.0,7,19,8,11,20,39,77,1
GER-Bundesliga,2024-25,Bayern Munich,Gabriel Vidovic,CRO,MF,20,2003,0.3,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
GER-Bundesliga,2024-25,Bayern Munich,Harry Kane,ENG,FW,31,1993,26.5,13,11,3,8,2,2,6,33.3,4,16,2,14,2,15,16,0
GER-Bundesliga,2024-25,Bayern Munich,Hiroki Ito,JPN,DF,25,1999,2.8,2,0,1,1,0,1,1,100.0,0,3,2,1,6,8,15,1
GER-Bundesliga,2024-25,Bayern Munich,Jamal Musiala,GER,MF,21,2003,20.0,36,21,7,16,13,12,29,41.4,17,30,0,30,8,44,5,1
GER-Bundesliga,2024-25,Bayern Munich,Jonah Kusi-Asare,SWE,FW,17,2007,0.0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
GER-Bundesliga,2024-25,Bayern Munich,Jonas Urbig,GER,GK,20,2003,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,2
GER-Bundesliga,2024-25,Bayern Munich,Joshua Kimmich,GER,MF,29,1995,31.6,47,29,11,29,7,30,50,60.0,20,23,3,20,25,72,34,3
GER-Bundesliga,2024-25,Bayern Munich,Josip Stanišić,CRO,DF,24,2000,9.7,13,11,6,4,3,7,15,46.7,8,10,6,4,6,19,29,1
GER-Bundesliga,2024-25,Bayern Munich,João Palhinha,POR,MF,29,1995,7.5,20,14,6,11,3,11,16,68.8,5,13,1,12,4,24,9,1
GER-Bundesliga,2024-25,Bayern Munich,Kim Min-jae,KOR,DF,27,1996,25.4,35,20,18,13,4,11,21,52.4,10,23,10,13,37,72,91,4
GER-Bundesliga,2024-25,Bayern Munich,Kingsley Coman,FRA,FW,28,1996,14.2,17,12,6,6,5,8,12,66.7,4,12,0,12,8,25,15,0
GER-Bundesliga,2024-25,Bayern Munich,Konrad Laimer,AUT,DF,27,1997,18.9,49,27,19,22,8,23,48,47.9,25,24,1,23,8,57,24,1
GER-Bundesliga,2024-25,Bayern Munich,Leon Goretzka,GER,"MF,DF",29,1995,14.7,21,11,5,12,4,10,20,50.0,10,27,7,20,20,41,25,1
GER-Bundesliga,2024-25,Bayern Munich,Leroy Sané,GER,FW,28,1996,18.2,23,15,4,8,11,12,23,52.2,11,8,0,8,7,30,3,0
GER-Bundesliga,2024-25,Bayern Munich,Manuel Neuer,GER,GK,38,1986,22.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,9,1
GER-Bundesliga,2024-25,Bayern Munich,Mathys Tel,FRA,"FW,MF",19,2005,2.8,2,2,0,2,0,0,0,,0,0,0,0,1,3,1,0
GER-Bundesliga,2024-25,Bayern Munich,Michael Olise,FRA,"FW,MF",22,2001,25.9,36,23,10,21,5,17,38,44.7,21,23,1,22,8,44,16,2
GER-Bundesliga,2024-25,Bayern Munich,Raphaël Guerreiro,POR,"DF,MF",30,1993,17.5,19,12,9,7,3,12,16,75.0,4,9,0,9,10,29,19,1
GER-Bundesliga,2024-25,Bayern Munich,Sacha Boey,FRA,DF,23,2000,6.6,20,5,6,6,8,13,18,72.2,5,6,0,6,2,22,14,0
GER-Bundesliga,2024-25,Bayern Munich,Serge Gnabry,GER,"FW,MF",29,1995,13.8,20,11,6,7,7,8,12,66.7,4,11,0,11,6,26,9,0
GER-Bundesliga,2024-25,Bayern Munich,Sven Ulreich,GER,GK,35,1988,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER-Bundesliga,2024-25,Bayern Munich,Thomas Müller,GER,"MF,FW",34,1989,13.6,8,5,2,3,3,4,16,25.0,12,10,0,10,2,10,14,0
GER-Bundesliga,2024-25,Bochum,Aliou Badara Baldé,GUI,"MF,FW",21,2002,1.0,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0
GER-Bundesliga,2024-25,Bochum,Anthony Losilla,FRA,MF,38,1986,12.6,30,16,15,12,3,17,33,51.5,16,22,7,15,18,48,27,1
GER-Bundesliga,2024-25,Bochum,Bernardo,BRA,DF,29,1995,19.8,46,28,32,13,1,27,37,73.0,10,38,17,21,26,72,103,4
GER-Bundesliga,2024-25,Bochum,Cristian Gamboa,CRC,DF,34,1989,2.5,8,3,5,3,0,3,9,33.3,6,2,0,2,2,10,8,0
GER-Bundesliga,2024-25,Bochum,Dani de Wit,NED,"MF,FW",26,1998,12.8,29,17,11,15,3,18,31,58.1,13,17,4,13,12,41,23,1
GER-Bundesliga,2024-25,Bochum,Erhan Mašović,SRB,DF,25,1998,10.1,14,10,10,4,0,13,28,46.4,15,17,11,6,12,26,55,0
GER-Bundesliga,2024-25,Bochum,Felix Passlack,GER,"DF,MF",26,1998,25.9,53,23,32,13,8,30,55,54.5,25,42,11,31,18,71,63,1
GER-Bundesliga,2024-25,Bochum,Gerrit Holtmann,PHI,"DF,FW",29,1995,12.6,24,19,14,8,2,12,24,50.0,12,18,5,13,16,40,15,0
GER-Bundesliga,2024-25,Bochum,Giorgos Masouras,GRE,"FW,MF",30,1994,11.7,18,10,6,7,5,7,16,43.8,9,9,1,8,4,22,3,1
GER-Bundesliga,2024-25,Bochum,Ibrahima Sissoko,MLI,MF,26,1997,29.0,66,44,30,31,5,24,45,53.3,21,39,11,28,36,102,61,0
GER-Bundesliga,2024-25,Bochum,Ivan Ordets,UKR,DF,32,1992,20.7,18,8,13,5,0,10,13,76.9,3,29,16,13,41,59,139,3
GER-Bundesliga,2024-25,Bochum,Jakov Medić,CRO,DF,25,1998,17.8,13,11,9,3,1,8,18,44.4,10,32,21,11,22,35,111,4
GER-Bundesliga,2024-25,Bochum,Kacper Koscierski,GER,DF,17,2007,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER-Bundesliga,2024-25,Bochum,Koji Miyoshi,JPN,"FW,MF",27,1997,5.2,8,5,2,1,5,4,9,44.4,5,10,1,9,2,10,2,0
GER-Bundesliga,2024-25,Bochum,Lukas Daschner,GER,"MF,FW",25,1998,4.6,4,2,1,2,1,2,9,22.2,7,5,0,5,0,4,5,0
GER-Bundesliga,2024-25,Bochum,Mats Pannewig,GER,MF,19,2004,3.0,10,6,7,3,0,3,12,25.0,9,8,1,7,2,12,8,0
GER-Bundesliga,2024-25,Bochum,Matúš Bero,SVK,MF,28,1995,28.5,65,35,33,21,11,29,60,48.3,31,37,9,28,17,82,35,1
GER-Bundesliga,2024-25,Bochum,Maximilian Wittek,GER,DF,28,1995,30.1,65,42,40,19,6,38,54,70.4,16,54,8,46,27,92,89,3
GER-Bundesliga,2024-25,Bochum,Moritz Broschinski,GER,"FW,MF",23,2000,15.4,19,14,6,6,7,6,15,40.0,9,18,0,18,1,20,18,0
GER-Bundesliga,2024-25,Bochum,Moritz-Broni Kwarteng,GHA,"MF,FW",26,1998,1.9,4,3,1,1,2,1,2,50.0,1,0,0,0,0,4,1,0
GER-Bundesliga,2024-25,Bochum,Myron Boadu,NED,FW,23,2001,11.6,2,1,0,0,2,1,5,20.0,4,3,0,3,1,3,4,0
GER-Bundesliga,2024-25,Bochum,Patrick Drewes,GER,GK,31,1993,21.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,11,1
GER-Bundesliga,2024-25,Bochum,Philipp Hofmann,GER,FW,31,1993,25.3,17,12,4,6,7,8,15,53.3,7,14,1,13,4,21,33,0
GER-Bundesliga,2024-25,Bochum,Samuel Bamba,GER,"FW,MF",20,2004,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
GER-Bundesliga,2024-25,Bochum,Tim Oermann,GER,DF,20,2003,24.6,50,31,25,21,4,26,43,60.5,17,32,16,16,22,72,64,0
GER-Bundesliga,2024-25,Bochum,Timo Horn,GER,GK,31,1993,13.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,2
GER-Bundesliga,2024-25,Bochum,Tom Krauß,GER,MF,23,2001,12.0,35,18,20,13,2,19,38,50.0,19,26,2,24,11,46,19,1
GER-Bundesliga,2024-25,Dortmund,Alexander Meyer,GER,GK,33,1991,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER-Bundesliga,2024-25,Dortmund,Almugera Kabar,GER,DF,18,2006,1.5,5,3,2,2,1,3,3,100.0,0,1,0,1,1,6,4,0
GER-Bundesliga,2024-25,Dortmund,Ayman Azhil,MAR,MF,23,2001,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
GER-Bundesliga,2024-25,Dortmund,Carney Chukwuemeka,ENG,MF,20,2003,2.8,7,5,3,2,2,1,1,100.0,0,5,0,5,1,8,1,0
GER-Bundesliga,2024-25,Dortmund,Cole Campbell,USA,"MF,FW",18,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
GER-Bundesliga,2024-25,Dortmund,Daniel Svensson,SWE,"DF,FW",22,2002,8.7,15,11,5,6,4,7,11,63.6,4,10,4,6,5,20,30,0
GER-Bundesliga,2024-25,Dortmund,Donyell Malen,NED,"FW,MF",25,1999,6.8,0,0,0,0,0,0,2,0.0,2,2,0,2,3,3,6,0
GER-Bundesliga,2024-25,Dortmund,Emre Can,GER,"DF,MF",30,1994,23.4,50,28,30,16,4,18,36,50.0,18,31,17,14,20,70,89,3
GER-Bundesliga,2024-25,Dortmund,Felix Nmecha,GER,MF,23,2000,16.8,34,22,6,19,9,12,22,54.5,10,20,5,15,23,57,30,1
GER-Bundesliga,2024-25,Dortmund,Gio Reyna,USA,MF,21,2002,3.9,7,0,3,0,4,4,5,80.0,1,3,1,2,0,7,9,0
GER-Bundesliga,2024-25,Dortmund,Gregor Kobel,SUI,GK,26,1997,32.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,3
GER-Bundesliga,2024-25,Dortmund,Jamie Gittens,ENG,"FW,MF",19,2004,19.7,31,19,12,12,7,14,18,77.8,4,16,0,16,10,41,4,0
GER-Bundesliga,2024-25,Dortmund,Julian Brandt,GER,MF,28,1996,25.6,26,11,13,8,5,15,43,34.9,28,17,0,17,14,40,13,1
GER-Bundesliga,2024-25,Dortmund,Julian Ryerson,NOR,DF,26,1997,25.1,46,30,26,13,7,25,44,56.8,19,29,2,27,22,68,26,1
GER-Bundesliga,2024-25,Dortmund,Julien Duranville,BEL,"FW,MF",18,2006,3.1,3,0,0,3,0,1,2,50.0,1,1,0,1,0,3,3,0
GER-Bundesliga,2024-25,Dortmund,Karim Adeyemi,GER,"FW,MF",22,2002,15.9,20,14,6,6,8,8,20,40.0,12,14,1,13,7,27,5,0
GER-Bundesliga,2024-25,Dortmund,Kjell-Arik Wätjen,GER,MF,18,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
GER-Bundesliga,2024-25,Dortmund,Marcel Sabitzer,AUT,MF,30,1994,18.0,29,19,7,15,7,16,27,59.3,11,19,6,13,10,39,29,1
GER-Bundesliga,2024-25,Dortmund,Maximilian Beier,GER,"FW,MF",21,2002,17.7,25,16,8,11,6,12,31,38.7,19,15,1,14,7,32,14,1
GER-Bundesliga,2024-25,Dortmund,Nico Schlotterbeck,GER,DF,24,1999,22.0,38,24,21,16,1,27,45,60.0,18,31,15,16,22,60,79,1
GER-Bundesliga,2024-25,Dortmund,Niklas Süle,GER,DF,28,1995,11.7,14,12,9,5,0,10,14,71.4,4,11,6,5,4,18,46,1
GER-Bundesliga,2024-25,Dortmund,Pascal Groß,GER,"MF,DF",33,1991,25.9,44,28,11,26,7,15,51,29.4,36,46,13,33,9,53,30,1
GER-Bundesliga,2024-25,Dortmund,Ramy Bensebaini,ALG,DF,29,1995,22.5,51,25,25,18,8,33,51,64.7,18,42,9,33,33,84,86,1
GER-Bundesliga,2024-25,Dortmund,Salih Özcan,TUR,MF,26,1998,4.3,11,7,6,4,1,7,13,53.8,6,7,0,7,11,22,10,0
GER-Bundesliga,2024-25,Dortmund,Serhou Guirassy,GUI,FW,28,1996,28.9,7,6,2,2,3,2,5,40.0,3,10,3,7,4,11,38,0
GER-Bundesliga,2024-25,Dortmund,Waldemar Anton,GER,DF,28,1996,21.7,34,21,18,10,6,17,23,73.9,6,33,16,17,30,64,112,1
GER-Bundesliga,2024-25,Dortmund,Yan Couto,BRA,"DF,FW",22,2002,9.9,24,16,17,2,5,14,25,56.0,11,12,1,11,10,34,32,2
GER-Bundesliga,2024-25,Dortmund,Yannik Lührs,GER,DF,20,2003,1.4,1,1,1,0,0,0,0,,0,0,0,0,2,3,4,0
GER-Bundesliga,2024-25,Eint Frankfurt,Ansgar Knauff,GER,"MF,DF",22,2002,17.7,41,22,18,16,7,12,26,46.2,14,23,4,19,12,53,24,0
GER-Bundesliga,2024-25,Eint Frankfurt,Arthur Theate,BEL,DF,24,2000,30.0,36,25,19,16,1,22,44,50.0,22,42,19,23,39,75,170,3
GER-Bundesliga,2024-25,Eint Frankfurt,Aurele Amenda,SUI,DF,21,2003,1.1,1,0,1,0,0,0,0,,0,2,2,0,2,3,11,0
GER-Bundesliga,2024-25,Eint Frankfurt,Can Uzun,TUR,"MF,FW",18,2005,7.5,10,4,1,4,5,5,10,50.0,5,9,0,9,1,11,3,0
GER-Bundesliga,2024-25,Eint Frankfurt,Ellyes Skhiri,TUN,MF,29,1995,24.8,40,22,15,21,4,18,44,40.9,26,30,7,23,31,71,45,4
GER-Bundesliga,2024-25,Eint Frankfurt,Elye Wahi,FRA,"FW,MF",21,2003,2.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
GER-Bundesliga,2024-25,Eint Frankfurt,Fares Chaïbi,ALG,"MF,FW",21,2002,11.3,13,9,4,5,4,7,20,35.0,13,10,0,10,10,23,32,1
GER-Bundesliga,2024-25,Eint Frankfurt,Hugo Ekitike,FRA,FW,22,2002,28.5,16,12,3,8,5,4,12,33.3,8,13,1,12,7,23,24,0
GER-Bundesliga,2024-25,Eint Frankfurt,Hugo Larsson,SWE,MF,20,2004,26.6,47,27,17,25,5,21,42,50.0,21,42,11,31,30,77,35,1
GER-Bundesliga,2024-25,Eint Frankfurt,Igor Matanovic,CRO,FW,21,2003,3.5,2,0,0,2,0,0,1,0.0,1,3,0,3,1,3,9,0
GER-Bundesliga,2024-25,Eint Frankfurt,Jean Mattéo Bahoya,FRA,"MF,FW",19,2005,10.2,29,18,11,13,5,16,26,61.5,10,14,2,12,4,33,10,1
GER-Bundesliga,2024-25,Eint Frankfurt,Junior Dina Ebimbe,FRA,"MF,FW",23,2000,3.3,3,2,1,2,0,1,3,33.3,2,4,0,4,7,10,6,0
GER-Bundesliga,2024-25,Eint Frankfurt,Kauã Santos,BRA,GK,21,2003,8.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2
GER-Bundesliga,2024-25,Eint Frankfurt,Kevin Trapp,GER,GK,34,1990,25.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,13,3
GER-Bundesliga,2024-25,Eint Frankfurt,Mahmoud Dahoud,GER,MF,28,1996,4.0,9,4,4,5,0,4,6,66.7,2,5,1,4,2,11,5,0
GER-Bundesliga,2024-25,Eint Frankfurt,Mario Götze,GER,"MF,FW",32,1992,17.1,41,28,18,20,3,15,36,41.7,21,15,1,14,7,48,8,0
GER-Bundesliga,2024-25,Eint Frankfurt,Michy Batshuayi,BEL,FW,30,1993,3.3,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,0,0
GER-Bundesliga,2024-25,Eint Frankfurt,Nathaniel Brown,GER,"DF,MF",21,2003,21.6,71,42,39,18,14,44,55,80.0,11,30,0,30,15,86,55,1
GER-Bundesliga,2024-25,Eint Frankfurt,Niels Nkounkou,FRA,"DF,MF",23,2000,4.2,13,10,7,3,3,4,7,57.1,3,5,2,3,7,20,15,0
GER-Bundesliga,2024-25,Eint Frankfurt,Nnamdi Collins,GER,DF,20,2004,16.5,33,24,24,7,2,17,22,77.3,5,22,11,11,16,49,74,3
GER-Bundesliga,2024-25,Eint Frankfurt,Omar Marmoush,EGY,FW,25,1999,16.1,12,8,0,3,9,3,7,42.9,4,7,1,6,2,14,2,0
GER-Bundesliga,2024-25,Eint Frankfurt,Oscar Højlund,DEN,MF,19,2005,8.0,21,12,8,9,4,8,16,50.0,8,15,7,8,5,26,11,1
GER-Bundesliga,2024-25,Eint Frankfurt,Rasmus Kristensen,DEN,DF,27,1997,27.9,59,33,37,17,5,40,67,59.7,27,50,13,37,20,79,97,1
GER-Bundesliga,2024-25,Eint Frankfurt,Robin Koch,GER,DF,28,1996,28.7,24,11,14,8,2,10,22,45.5,12,39,25,14,25,49,197,4
GER-Bundesliga,2024-25,Eint Frankfurt,Timothy Chandler,USA,DF,34,1990,0.3,0,0,0,0,0,0,0,,0,0,0,0,3,3,2,0
