league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
AUT-Bundesliga,2023-24,Rapid Wien,Roman Kerschbaum,AUT,MF,29,1994,13.7,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Terence Kongolo,NED,DF,29,1994,8.2,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Thierry Gale,BRB,MF,21,2002,1.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Thorsten Schick,AUT,"DF,MF",33,1990,7.7,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Anderson,BRA,"DF,MF",25,1998,22.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Anthony Schmid,AUT,"MF,FW",24,1999,10.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Baila Diallo,FRA,"DF,MF",22,2001,11.3,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Ben Bobzien,GER,"MF,FW",20,2003,14.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Boris Moltenis,MTQ,DF,24,1999,7.7,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Daniel Tiefenbach,HUN,"MF,DF",23,1999,19.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Dario Grujcic,AUT,DF,24,1999,21.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Domenik Schierl,AUT,GK,29,1994,31.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Enes Koc,AUT,MF,18,2005,0.1,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Fabian Gmeiner,AUT,"DF,MF",26,1997,16.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Jonathan Schmid,FRA,MF,33,1990,3.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Kennedy Boateng,TOG,DF,26,1996,14.3,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Leo Mikić,CRO,FW,26,1997,4.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Leo Mätzler,AUT,"DF,MF",21,2002,11.3,,,,,,,,,,,,,,,,,,,,,,
