league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Oliver Wähling,ENG,MF,24,1999,3.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Paul Mensah,GHA,"MF,FW",24,1999,5.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Radek Vítek,,GK,20,2003,26.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Ronivaldo,BRA,FW,35,1989,26.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Silvan Wallner,SUI,DF,22,2002,3.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Simon Pirkl,AUT,"MF,DF",27,1997,26.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Simon Seidl,AUT,"MF,FW",21,2002,20.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Soumaïla Diabaté,MLI,MF,19,2004,25.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Thomas Goiginger,AUT,"FW,MF",31,1993,20.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Antonio Tikvić,CRO,DF,20,2004,13.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Atsushi Zaizen,JPN,MF,25,1999,4.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Benjamin Rosenberger,AUT,"MF,DF",28,1996,17.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Christian Lichtenberger,AUT,"MF,FW",28,1995,21.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Daniel Maderner,AUT,FW,28,1995,20.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Dennis Dressel,GER,MF,25,1998,10.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Dominik Frieser,AUT,"MF,FW",30,1993,22.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Felix Holzhacker,AUT,MF,22,2002,0.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Florian Wiegele,AUT,GK,23,2001,15.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Jacob Italiano,AUS,"MF,DF",23,2001,19.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Jakob Meierhofer,AUT,GK,26,1997,17.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Lukas Graf,AUT,DF,29,1994,10.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,László Kleinheisler,HUN,"MF,FW",30,1994,4.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Marco Gantschnig,AUT,DF,26,1997,8.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Marco Perchtold,AUT,MF,35,1988,9.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Martin Kreuzriegler,AUT,DF,30,1994,8.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Michael Cheukoua,CMR,FW,27,1997,3.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Michael Lang,AUT,"DF,MF",26,1998,11.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Miloš Jovičić,SRB,DF,29,1995,24.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Murat Satin,,MF,27,1996,23.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Petar Filipović,GER,DF,33,1990,24.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Romeo Vucic,AUT,FW,21,2003,7.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Sadik Fofana,TOG,MF,21,2003,13.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Thomas Schiestl,AUT,MF,21,2002,4.2,,,,,,,,,,,,,,,,
