league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
FRA-Ligue 1,2024-25,Reims,Amadou Koné,MLI,MF,19,2005,14.4,3,1,0,19,52,0,3,19,32,0,1,0,79,22,22,50.0
FRA-Ligue 1,2024-25,Reims,Amine Salama,FRA,FW,24,2000,4.1,0,0,0,2,1,5,4,1,2,0,0,0,11,2,3,40.0
FRA-Ligue 1,2024-25,Reims,Ange Martial Tia,MLI,"MF,DF",17,2006,1.9,0,0,0,3,1,0,3,2,3,0,0,0,12,5,3,62.5
FRA-Ligue 1,2024-25,Reims,Aurélio Buta,POR,DF,27,1997,21.9,5,0,0,32,27,3,32,22,24,0,1,0,69,12,15,44.4
FRA-Ligue 1,2024-25,Reims,Cédric Kipré,CIV,DF,27,1996,24.3,4,2,0,24,12,1,12,32,30,0,1,0,73,41,24,63.1
FRA-Ligue 1,2024-25,Reims,Eloge Zabi,CIV,"DF,MF",17,2006,0.2,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,
FRA-Ligue 1,2024-25,Reims,Emmanuel Agbadou,CIV,DF,27,1997,14.0,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1
FRA-Ligue 1,2024-25,Reims,Gabriel Moscardo,BRA,"MF,DF",18,2005,0.9,1,0,0,1,0,0,0,0,1,0,0,0,4,3,1,75.0
FRA-Ligue 1,2024-25,Reims,Hafiz Ibrahim,NGA,FW,18,2005,4.3,2,1,1,12,2,3,1,2,2,0,0,0,14,8,23,25.8
FRA-Ligue 1,2024-25,Reims,Hiroki Sekine,JPN,DF,21,2002,9.9,1,0,0,4,7,0,21,5,7,0,0,0,21,11,11,50.0
FRA-Ligue 1,2024-25,Reims,Ike Orazi,IRL,MF,17,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2024-25,Reims,John Joe,IRL,MF,20,2003,6.1,0,0,0,14,13,0,5,6,15,0,0,0,31,10,13,43.5
FRA-Ligue 1,2024-25,Reims,Jordan Pefok,USA,FW,28,1996,4.2,0,0,0,11,8,3,1,2,2,0,0,0,7,10,10,50.0
FRA-Ligue 1,2024-25,Reims,Joseph Okumu,KEN,DF,27,1997,18.8,5,1,1,15,15,0,5,25,15,0,2,0,94,35,20,63.6
FRA-Ligue 1,2024-25,Reims,Junya Ito,JPN,"FW,MF",31,1993,29.9,1,0,0,14,34,10,234,13,30,0,0,0,135,17,28,37.8
FRA-Ligue 1,2024-25,Reims,Keito Nakamura,JPN,"FW,MF",24,2000,29.4,5,0,0,29,8,10,56,13,16,0,0,0,116,7,14,33.3
FRA-Ligue 1,2024-25,Reims,Malcolm Jeng,SWE,DF,19,2005,1.2,0,0,0,1,0,0,0,3,0,0,0,0,3,4,4,50.0
FRA-Ligue 1,2024-25,Reims,Mamadou Diakhon,FRA,"FW,MF",18,2005,9.5,2,0,0,5,22,0,33,4,8,1,0,0,38,1,13,7.1
FRA-Ligue 1,2024-25,Reims,Marshall Munetsi,ZIM,MF,28,1996,18.8,5,0,0,28,31,2,11,17,18,0,0,0,72,41,48,46.1
FRA-Ligue 1,2024-25,Reims,Martin Adeline,FRA,MF,20,2003,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
FRA-Ligue 1,2024-25,Reims,Mohamed Bamba,CIV,MF,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
FRA-Ligue 1,2024-25,Reims,Mohamed Daramy,DEN,FW,22,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
FRA-Ligue 1,2024-25,Reims,Mory Gbane,CIV,"DF,MF",23,2000,12.5,2,0,0,12,3,0,2,18,11,0,0,0,49,15,9,62.5
FRA-Ligue 1,2024-25,Reims,Nhoa Sangui,FRA,"DF,MF",18,2006,12.9,3,0,0,9,8,0,16,8,9,0,0,0,64,6,12,33.3
FRA-Ligue 1,2024-25,Reims,Niama Sissoko,MLI,"FW,MF",18,2005,0.5,0,0,0,3,0,0,0,0,0,0,0,0,2,1,3,25.0
FRA-Ligue 1,2024-25,Reims,Oumar Diakité,CIV,FW,20,2003,18.1,6,0,0,27,25,11,7,3,13,0,0,0,59,25,59,29.8
FRA-Ligue 1,2024-25,Reims,Reda Khadra,GER,"MF,FW",23,2001,0.9,0,0,0,0,3,0,3,0,1,0,0,0,7,0,0,
FRA-Ligue 1,2024-25,Reims,Sergio Akieme,ESP,DF,26,1997,28.0,5,0,0,25,21,1,94,17,23,0,0,0,109,19,26,42.2
FRA-Ligue 1,2024-25,Reims,Teddy Teuma,MLT,MF,30,1993,8.3,1,0,0,11,7,2,44,12,10,0,0,0,42,4,8,33.3
FRA-Ligue 1,2024-25,Reims,Thibault De Smet,BEL,DF,26,1998,2.1,0,0,0,1,2,0,0,4,4,0,0,0,6,1,1,50.0
FRA-Ligue 1,2024-25,Reims,Valentin Atangana Edoa,FRA,MF,18,2005,31.7,7,0,0,57,50,8,17,37,50,0,0,0,117,47,34,58.0
FRA-Ligue 1,2024-25,Reims,Yaya Kader Fofana,MLI,"MF,FW",20,2004,7.0,4,0,0,16,7,0,6,3,11,0,0,0,33,4,10,28.6
FRA-Ligue 1,2024-25,Reims,Yehvann Diouf,SEN,GK,24,1999,34.0,1,0,0,0,3,0,0,1,1,0,0,0,45,6,0,100.0
FRA-Ligue 1,2024-25,Rennes,Adrien Truffert,FRA,"DF,MF",22,2001,30.6,3,0,0,25,34,4,145,27,36,0,0,0,139,27,27,50.0
FRA-Ligue 1,2024-25,Rennes,Albert Grønbaek,DEN,"MF,FW",23,2001,9.0,1,0,0,10,10,0,28,4,11,0,0,0,24,4,11,26.7
FRA-Ligue 1,2024-25,Rennes,Alidu Seidu,GHA,DF,24,2000,8.9,4,0,0,10,28,1,4,14,18,0,0,0,67,9,11,45.0
FRA-Ligue 1,2024-25,Rennes,Amine Gouiri,ALG,"MF,FW",24,2000,11.5,2,0,0,18,12,4,12,2,6,0,0,0,40,8,15,34.8
FRA-Ligue 1,2024-25,Rennes,Anthony Rouault,FRA,DF,23,2001,10.8,3,0,0,7,1,1,0,8,8,0,0,0,48,28,15,65.1
FRA-Ligue 1,2024-25,Rennes,Arnaud Kalimuendo,FRA,"FW,MF",22,2002,28.6,2,0,0,29,40,12,13,4,12,1,0,0,63,22,59,27.2
FRA-Ligue 1,2024-25,Rennes,Ayanda Sishuba,BEL,FW,19,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2024-25,Rennes,Azor Matusiwa,NED,MF,26,1998,23.1,3,0,0,29,32,0,1,34,39,0,1,0,134,28,18,60.9
FRA-Ligue 1,2024-25,Rennes,Baptiste Santamaria,FRA,MF,29,1995,5.4,1,0,0,5,7,0,4,12,4,1,0,1,34,13,13,50.0
FRA-Ligue 1,2024-25,Rennes,Benjamin Bourigeaud,FRA,MF,30,1994,0.9,0,0,0,0,0,0,6,2,0,0,0,0,4,2,2,50.0
FRA-Ligue 1,2024-25,Rennes,Brice Samba,FRA,GK,30,1994,17.0,3,0,0,0,1,0,0,0,1,0,0,0,25,5,0,100.0
FRA-Ligue 1,2024-25,Rennes,Carlos Gómez,COL,"MF,DF",21,2002,4.2,1,0,0,11,2,2,19,2,6,0,0,0,16,2,6,25.0
FRA-Ligue 1,2024-25,Rennes,Christopher Wooh,CMR,DF,22,2001,16.2,6,1,0,33,8,0,0,23,19,0,1,1,53,42,18,70.0
FRA-Ligue 1,2024-25,Rennes,Djaoui Cissé,FRA,MF,20,2004,12.5,4,0,0,25,14,0,3,13,18,0,0,0,78,4,13,23.5
FRA-Ligue 1,2024-25,Rennes,Gauthier Gallon,FRA,GK,31,1993,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2024-25,Rennes,Glen Kamara,FIN,MF,28,1995,7.4,0,0,0,7,4,0,0,7,11,0,0,0,42,2,6,25.0
FRA-Ligue 1,2024-25,Rennes,Hans Hateboer,NED,DF,30,1994,18.7,3,0,0,20,10,2,33,29,16,0,0,0,62,42,24,63.6
FRA-Ligue 1,2024-25,Rennes,Henrik Meister,DEN,FW,20,2003,0.7,0,0,0,3,1,0,0,1,0,0,0,0,7,2,3,40.0
FRA-Ligue 1,2024-25,Rennes,Ismaël Koné,CAN,MF,22,2002,5.2,1,0,0,8,8,0,2,4,6,0,1,0,19,2,0,100.0
FRA-Ligue 1,2024-25,Rennes,Jordan James,WAL,MF,20,2004,13.1,4,0,0,26,15,1,34,14,19,0,0,0,54,10,7,58.8
FRA-Ligue 1,2024-25,Rennes,Jota,POR,"FW,MF",25,1999,3.7,0,0,0,3,2,3,16,3,2,0,0,0,11,1,1,50.0
FRA-Ligue 1,2024-25,Rennes,Jérémy Jacquet,FRA,DF,19,2005,10.3,0,0,0,13,6,0,3,27,17,0,0,0,41,19,10,65.5
FRA-Ligue 1,2024-25,Rennes,Kazeem Olaigbe,BEL,"MF,FW",21,2003,3.3,0,0,0,6,1,2,10,0,4,0,0,0,13,0,1,0.0
FRA-Ligue 1,2024-25,Rennes,Kyogo Furuhashi,JPN,FW,29,1995,1.4,0,0,0,4,2,0,0,0,2,0,0,0,1,1,2,33.3
FRA-Ligue 1,2024-25,Rennes,Leo Skiri Østigård,NOR,DF,24,1999,13.6,4,0,0,18,5,0,0,15,18,0,0,0,51,47,20,70.1
FRA-Ligue 1,2024-25,Rennes,Lilian Brassier,FRA,DF,24,1999,13.7,1,0,0,9,12,0,9,22,12,0,1,0,59,30,8,78.9
FRA-Ligue 1,2024-25,Rennes,Lorenz Assignon,TOG,"DF,MF",24,2000,26.2,9,0,0,52,28,5,70,25,27,0,1,0,110,38,22,63.3
FRA-Ligue 1,2024-25,Rennes,Ludovic Blas,FRA,"MF,FW",26,1997,25.5,6,0,0,31,54,1,124,13,25,1,0,0,88,11,37,22.9
FRA-Ligue 1,2024-25,Rennes,Mahamadou Nagida,CMR,DF,19,2005,4.8,1,0,0,5,12,0,29,9,6,0,0,0,37,5,11,31.3
FRA-Ligue 1,2024-25,Rennes,Mikayil Ngor Faye,SEN,DF,20,2004,7.6,1,1,0,10,6,0,1,12,12,0,1,0,41,14,9,60.9
FRA-Ligue 1,2024-25,Rennes,Mohamed Meité,FRA,FW,16,2007,6.0,0,0,0,14,8,4,2,0,0,0,0,0,5,15,11,57.7
FRA-Ligue 1,2024-25,Rennes,Musa Al-Taamari,JOR,"FW,MF",27,1997,6.3,1,0,0,4,11,4,6,2,1,1,0,0,17,2,9,18.2
FRA-Ligue 1,2024-25,Rennes,Naouirou Ahamada,FRA,"MF,FW",22,2002,0.6,0,0,0,1,0,0,1,2,0,0,0,0,7,0,1,0.0
FRA-Ligue 1,2024-25,Rennes,Seko Fofana,CIV,MF,29,1995,9.4,3,0,0,9,7,2,5,7,7,0,0,0,42,7,3,70.0
FRA-Ligue 1,2024-25,Rennes,Steve Mandanda,FRA,GK,39,1985,16.5,0,0,0,0,1,0,0,0,0,0,0,0,26,1,0,100.0
FRA-Ligue 1,2024-25,Saint-Étienne,Aimen Moueffek,FRA,MF,23,2001,11.5,2,0,0,20,7,3,4,5,12,0,0,0,59,9,17,34.6
FRA-Ligue 1,2024-25,Saint-Étienne,Anthony Briançon,FRA,DF,29,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2024-25,Saint-Étienne,Augustine Boakye,GHA,"FW,MF",23,2000,8.1,5,0,0,19,7,3,5,6,3,0,0,0,27,5,14,26.3
FRA-Ligue 1,2024-25,Saint-Étienne,Ayman Aiki,FRA,"FW,MF",19,2005,1.4,0,0,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0
FRA-Ligue 1,2024-25,Saint-Étienne,Ben Old,NZL,"FW,MF",21,2002,5.9,0,0,0,4,10,0,19,2,5,0,0,0,24,1,5,16.7
FRA-Ligue 1,2024-25,Saint-Étienne,Benjamin Bouchouari,MAR,MF,22,2001,19.7,6,0,0,15,42,0,9,17,27,0,1,0,119,6,17,26.1
FRA-Ligue 1,2024-25,Saint-Étienne,Beres Owusu,FRA,DF,20,2003,1.0,0,0,0,1,1,0,1,0,2,0,0,0,2,2,0,100.0
FRA-Ligue 1,2024-25,Saint-Étienne,Dennis Appiah,FRA,DF,32,1992,23.6,2,0,0,37,9,2,52,29,43,0,2,0,90,27,31,46.6
FRA-Ligue 1,2024-25,Saint-Étienne,Djylian N'Guessan,FRA,FW,15,2008,2.0,0,0,0,1,2,0,0,0,4,0,0,0,4,4,7,36.4
FRA-Ligue 1,2024-25,Saint-Étienne,Dylan Batubinsika,COD,DF,28,1996,22.4,3,1,0,24,13,0,1,39,13,0,3,1,76,45,17,72.6
FRA-Ligue 1,2024-25,Saint-Étienne,Florian Tardieu,FRA,MF,32,1992,13.9,0,0,0,10,14,1,24,15,14,0,1,0,83,14,8,63.6
FRA-Ligue 1,2024-25,Saint-Étienne,Gautier Larsonneur,FRA,GK,27,1997,34.0,5,0,0,0,13,0,0,0,0,0,0,0,41,7,4,63.6
FRA-Ligue 1,2024-25,Saint-Étienne,Ibrahim Sissoko,MLI,FW,28,1995,9.1,1,0,0,37,21,9,3,2,9,0,0,0,23,26,42,38.2
FRA-Ligue 1,2024-25,Saint-Étienne,Ibrahima Wadji,SEN,"FW,MF",29,1995,3.9,1,0,0,11,5,4,2,1,6,0,0,0,7,4,10,28.6
FRA-Ligue 1,2024-25,Saint-Étienne,Igor Miladinović,SRB,"FW,MF",21,2003,0.3,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,100.0
FRA-Ligue 1,2024-25,Saint-Étienne,Irvin Cardona,FRA,FW,26,1997,11.8,2,0,0,12,10,3,31,4,5,0,0,0,26,10,8,55.6
FRA-Ligue 1,2024-25,Saint-Étienne,Jibril Othman,TUN,FW,20,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
FRA-Ligue 1,2024-25,Saint-Étienne,Kévin Pedro,FRA,DF,18,2006,0.1,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,
FRA-Ligue 1,2024-25,Saint-Étienne,Lamine Fomba,FRA,MF,26,1998,2.4,2,0,0,13,2,1,1,4,6,0,1,0,13,3,6,33.3
FRA-Ligue 1,2024-25,Saint-Étienne,Louis Mouton,FRA,MF,22,2002,11.6,2,0,0,24,7,2,21,10,25,0,0,0,63,5,11,31.3
FRA-Ligue 1,2024-25,Saint-Étienne,Lucas Stassin,BEL,FW,19,2004,21.0,4,0,0,32,26,7,19,3,11,1,0,0,34,15,29,34.1
FRA-Ligue 1,2024-25,Saint-Étienne,Léo Pétrot,FRA,DF,27,1997,29.3,4,0,0,22,22,1,51,42,39,0,3,0,115,40,37,51.9
FRA-Ligue 1,2024-25,Saint-Étienne,Marwann Nzuzi,FRA,DF,20,2004,1.4,2,0,0,2,1,0,1,2,2,0,0,0,3,2,1,66.7
FRA-Ligue 1,2024-25,Saint-Étienne,Mathieu Cafaro,FRA,"MF,FW",27,1997,8.1,3,1,0,11,14,3,27,7,7,0,1,0,30,3,4,42.9
FRA-Ligue 1,2024-25,Saint-Étienne,Mathis Amougou,FRA,MF,18,2006,9.5,2,0,0,6,8,0,1,12,15,0,0,0,37,3,12,20.0
FRA-Ligue 1,2024-25,Saint-Étienne,Maxime Bernauer,FRA,DF,26,1998,8.5,4,1,1,10,4,0,0,5,9,0,1,0,37,11,7,61.1
FRA-Ligue 1,2024-25,Saint-Étienne,Mickael Nade,FRA,DF,25,1999,25.6,1,0,0,19,27,0,1,33,43,1,1,1,113,28,9,75.7
FRA-Ligue 1,2024-25,Saint-Étienne,Pierre Cornud,FRA,DF,27,1996,6.4,2,0,0,10,3,1,14,9,10,0,1,0,33,3,4,42.9
FRA-Ligue 1,2024-25,Saint-Étienne,Pierre Ekwah Elimby,FRA,MF,22,2002,28.6,3,0,0,42,38,0,5,47,33,0,0,0,154,30,13,69.8
FRA-Ligue 1,2024-25,Saint-Étienne,Yunis Abdelhamid,MAR,DF,36,1987,11.5,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5
FRA-Ligue 1,2024-25,Saint-Étienne,Yvann Macon,FRA,DF,25,1998,8.8,4,0,0,26,8,1,23,2,11,0,0,0,42,3,12,20.0
FRA-Ligue 1,2024-25,Saint-Étienne,Zuriko Davitashvili,GEO,"FW,MF",23,2001,30.9,3,0,0,20,40,5,85,14,14,2,0,0,117,14,47,23.0
FRA-Ligue 1,2024-25,Strasbourg,Abakar Sylla,CIV,DF,21,2002,10.6,2,1,0,17,7,0,1,11,15,0,0,1,39,20,15,57.1
FRA-Ligue 1,2024-25,Strasbourg,Andrew Omobamidele,IRL,DF,22,2002,6.0,5,1,1,13,7,0,0,8,4,0,1,0,25,9,3,75.0
FRA-Ligue 1,2024-25,Strasbourg,Andrey Santos,BRA,MF,20,2004,31.7,8,0,0,29,63,0,0,32,74,1,1,0,188,37,24,60.7
FRA-Ligue 1,2024-25,Strasbourg,Caleb Wiley,USA,"DF,MF",19,2004,3.0,1,0,0,2,2,0,7,4,0,0,0,0,17,0,4,0.0
FRA-Ligue 1,2024-25,Strasbourg,Diego Moreira,POR,"DF,MF",19,2004,28.5,4,1,0,26,35,2,93,35,28,0,1,0,139,27,29,48.2
FRA-Ligue 1,2024-25,Strasbourg,Dilane Bakwa,FRA,"MF,DF",21,2002,27.7,4,0,0,29,71,5,153,15,14,0,0,0,92,11,8,57.9
FRA-Ligue 1,2024-25,Strasbourg,Eduard Sobol,UKR,DF,29,1995,1.1,2,0,0,4,1,0,1,2,0,0,0,0,4,3,3,50.0
FRA-Ligue 1,2024-25,Strasbourg,Emanuel Emegha,NED,FW,21,2003,25.5,5,0,0,36,37,27,0,1,6,0,0,0,60,26,39,40.0
FRA-Ligue 1,2024-25,Strasbourg,Félix Lemaréchal,FRA,"MF,FW",20,2003,19.8,2,0,0,30,12,3,26,14,24,0,0,0,62,14,25,35.9
FRA-Ligue 1,2024-25,Strasbourg,Guela Doué,CIV,DF,21,2002,30.2,7,0,0,41,19,0,46,34,45,0,1,0,162,58,37,61.1
FRA-Ligue 1,2024-25,Strasbourg,Guimissongui Ouattara,FRA,"DF,FW",18,2005,5.2,1,0,0,7,1,1,3,9,4,0,0,0,26,3,6,33.3
FRA-Ligue 1,2024-25,Strasbourg,Habib Diarra,SEN,"MF,FW",20,2004,26.1,6,0,0,26,52,1,54,13,13,1,0,0,90,12,16,42.9
FRA-Ligue 1,2024-25,Strasbourg,Ismaël Doukouré,FRA,"DF,MF",21,2003,29.3,7,0,0,30,17,0,1,25,22,0,0,1,103,26,16,61.9
FRA-Ligue 1,2024-25,Strasbourg,Junior Mwanga,FRA,MF,21,2003,3.3,0,0,0,6,1,0,0,2,9,0,0,0,16,2,0,100.0
FRA-Ligue 1,2024-25,Strasbourg,Jérémy Sebas,MTQ,"FW,MF",21,2003,2.1,0,0,0,6,2,2,2,0,2,0,0,0,10,3,3,50.0
FRA-Ligue 1,2024-25,Strasbourg,Karl-Johan Johnsson,SWE,GK,34,1990,3.0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,100.0
FRA-Ligue 1,2024-25,Strasbourg,Karol Fila,POL,MF,26,1998,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
FRA-Ligue 1,2024-25,Strasbourg,Mamadou Sarr,FRA,DF,18,2005,26.3,4,0,0,29,11,0,1,25,21,0,1,0,98,30,29,50.8
FRA-Ligue 1,2024-25,Strasbourg,Marvin Senaya,TOG,DF,23,2001,2.5,3,0,0,4,4,0,1,7,3,0,1,0,13,3,3,50.0
FRA-Ligue 1,2024-25,Strasbourg,Milos Lukovic,SRB,"FW,MF",18,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2024-25,Strasbourg,Nordine Kandil,FRA,MF,22,2001,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,50.0
FRA-Ligue 1,2024-25,Strasbourg,Pape Daouda Diongue,SEN,"MF,FW",,,0.9,0,0,0,0,0,0,1,3,0,0,0,0,9,4,0,100.0
FRA-Ligue 1,2024-25,Strasbourg,Saidou Sow,GUI,DF,22,2002,11.3,2,0,0,7,5,1,0,15,5,0,1,0,36,16,15,51.6
FRA-Ligue 1,2024-25,Strasbourg,Samuel Amo-Ameyaw,ENG,"DF,MF",18,2006,3.6,0,0,0,3,5,1,6,3,3,0,0,0,14,0,7,0.0
FRA-Ligue 1,2024-25,Strasbourg,Sebastian Nanasi,SWE,"MF,FW",22,2002,23.4,1,0,0,9,17,1,66,7,13,0,0,0,71,3,11,21.4
FRA-Ligue 1,2024-25,Strasbourg,Sekou Mara,FRA,"FW,MF",22,2002,8.5,2,0,0,18,16,3,3,3,6,0,0,0,21,19,23,45.2
FRA-Ligue 1,2024-25,Strasbourg,Thomas Delaine,FRA,DF,32,1992,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,
FRA-Ligue 1,2024-25,Strasbourg,Valentín Barco,ARG,"MF,DF",20,2004,12.9,2,0,0,17,29,0,31,13,22,0,1,0,79,7,7,50.0
FRA-Ligue 1,2024-25,Strasbourg,Óscar Perea,COL,"MF,DF",18,2005,0.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
FRA-Ligue 1,2024-25,Strasbourg,Đorđe Petrović,SRB,GK,24,1999,31.0,2,0,0,0,3,0,0,0,1,0,0,0,58,4,0,100.0
FRA-Ligue 1,2024-25,Toulouse,Aron Dønnum,NOR,"DF,MF",26,1998,29.9,6,0,0,38,55,0,117,28,35,0,0,0,171,12,17,41.4
FRA-Ligue 1,2024-25,Toulouse,Charlie Cresswell,ENG,DF,21,2002,28.8,5,0,0,28,15,3,4,28,23,0,0,1,103,98,44,69.0
FRA-Ligue 1,2024-25,Toulouse,Cristian Cásseres Jr.,VEN,MF,24,2000,30.0,11,0,0,53,46,1,80,42,61,0,0,0,172,24,17,58.5
FRA-Ligue 1,2024-25,Toulouse,Denis Genreau,AUS,MF,25,1999,2.5,0,0,0,7,5,0,9,3,5,0,0,0,11,0,3,0.0
FRA-Ligue 1,2024-25,Toulouse,Djibril Sidibé,FRA,DF,32,1992,23.3,1,0,0,20,19,2,45,20,36,0,0,0,99,17,10,63.0
FRA-Ligue 1,2024-25,Toulouse,Edhy Zuliani,FRA,DF,19,2004,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
FRA-Ligue 1,2024-25,Toulouse,Frank Magri,CMR,"FW,MF",24,1999,16.8,5,1,0,26,28,4,4,4,2,0,0,0,21,40,82,32.8
FRA-Ligue 1,2024-25,Toulouse,Gabriel Suazo,CHI,DF,26,1997,24.0,0,0,0,32,29,2,78,36,39,0,0,1,125,13,19,40.6
FRA-Ligue 1,2024-25,Toulouse,Guillaume Restes,FRA,GK,19,2005,28.3,2,0,0,1,2,0,0,1,1,0,1,0,50,0,1,0.0
FRA-Ligue 1,2024-25,Toulouse,Jaydee Canvot,FRA,"DF,MF",18,2006,12.3,2,0,0,18,3,0,6,11,11,0,0,0,50,16,13,55.2
FRA-Ligue 1,2024-25,Toulouse,Joshua King,NOR,"FW,MF",32,1992,18.6,2,0,0,35,27,7,9,6,11,1,0,0,60,35,51,40.7
FRA-Ligue 1,2024-25,Toulouse,Kjetil Haug,NOR,GK,26,1998,5.5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
FRA-Ligue 1,2024-25,Toulouse,Logan Costa,CPV,DF,23,2001,1.0,0,0,0,0,0,0,1,2,1,0,0,0,4,4,2,66.7
FRA-Ligue 1,2024-25,Toulouse,Mark McKenzie,USA,DF,25,1999,27.7,1,1,0,30,12,1,1,22,31,0,1,0,128,44,34,56.4
FRA-Ligue 1,2024-25,Toulouse,Miha Zajc,SVN,MF,30,1994,2.9,2,0,0,5,2,0,7,3,4,0,0,0,14,3,8,27.3
FRA-Ligue 1,2024-25,Toulouse,Naatan Skyttä,FIN,FW,22,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
FRA-Ligue 1,2024-25,Toulouse,Niklas Schmidt,GER,MF,26,1998,2.3,0,0,0,5,1,0,16,1,4,0,0,0,24,1,1,50.0
FRA-Ligue 1,2024-25,Toulouse,Noah Edjouma,FRA,"MF,FW",18,2005,1.9,0,1,0,4,3,0,6,2,2,0,0,0,8,2,3,40.0
FRA-Ligue 1,2024-25,Toulouse,Rafik Messali,FRA,DF,21,2003,5.1,0,0,0,9,8,1,16,10,8,0,0,0,28,6,4,60.0
FRA-Ligue 1,2024-25,Toulouse,Rasmus Nicolaisen,DEN,DF,27,1997,6.9,0,0,0,4,8,0,0,10,3,0,0,1,29,21,9,70.0
FRA-Ligue 1,2024-25,Toulouse,Shavy Babicka,GAB,"MF,FW",24,2000,13.2,2,0,0,16,21,7,39,3,12,0,0,0,54,7,17,29.2
FRA-Ligue 1,2024-25,Toulouse,Vincent Sierro,SUI,MF,28,1995,26.7,4,0,0,34,31,1,64,16,27,0,0,0,125,31,35,47.0
FRA-Ligue 1,2024-25,Toulouse,Warren Kamanzi,NOR,"DF,MF",23,2000,11.4,3,0,0,16,13,2,16,9,13,0,0,0,56,7,1,87.5
FRA-Ligue 1,2024-25,Toulouse,Yann Gboho,FRA,"MF,FW",23,2001,25.9,2,0,0,16,61,2,26,6,18,1,0,0,107,5,27,15.6
FRA-Ligue 1,2024-25,Toulouse,Zakaria Aboukhlal,MAR,"MF,FW",24,2000,21.1,4,0,0,35,25,13,33,6,13,2,0,0,61,22,38,36.7
FRA-Ligue 1,2024-25,Toulouse,Álex Domínguez,ESP,GK,26,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2024-25,Toulouse,Ümit Akdag,ROU,DF,20,2003,5.6,2,0,0,8,1,0,3,11,4,0,0,0,24,18,7,72.0
GER-Bundesliga,2024-25,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26,1998,23.4,4,0,0,26,42,3,21,15,26,1,0,0,72,14,23,37.8
GER-Bundesliga,2024-25,Augsburg,Arne Engels,BEL,"MF,FW",20,2003,0.9,1,0,0,3,1,0,4,0,0,0,0,0,0,1,0,100.0
GER-Bundesliga,2024-25,Augsburg,Arne Maier,GER,MF,25,1999,10.4,0,1,0,9,7,0,67,6,7,0,0,0,72,4,7,36.4
GER-Bundesliga,2024-25,Augsburg,Cedric Zesiger,SUI,DF,26,1998,13.6,7,1,1,15,7,0,13,21,7,0,0,0,57,27,19,58.7
GER-Bundesliga,2024-25,Augsburg,Chrislain Matsima,FRA,DF,22,2002,28.3,4,0,0,10,10,1,3,52,20,0,1,1,143,68,28,70.8
GER-Bundesliga,2024-25,Augsburg,Dimitris Giannoulis,GRE,DF,28,1995,29.4,8,0,0,17,20,1,120,47,32,1,0,0,136,9,23,28.1
GER-Bundesliga,2024-25,Augsburg,Elvis Rexhbeçaj,KVX,MF,26,1997,19.8,8,0,0,13,42,1,71,16,19,0,0,0,85,10,19,34.5
GER-Bundesliga,2024-25,Augsburg,Finn Dahmen,GER,GK,26,1998,19.0,0,0,0,0,1,0,0,0,0,0,0,0,33,5,0,100.0
GER-Bundesliga,2024-25,Augsburg,Frank Onyeka,NGA,MF,26,1998,28.7,8,0,0,47,74,3,20,36,45,0,0,0,147,16,21,43.2
GER-Bundesliga,2024-25,Augsburg,Fredrik Jensen,FIN,MF,26,1997,8.5,0,0,0,5,5,3,20,4,7,0,0,0,15,6,13,31.6
GER-Bundesliga,2024-25,Augsburg,Henri Koudossou,GER,DF,24,1999,8.3,1,0,0,7,5,2,24,15,10,0,0,0,39,8,7,53.3
